fecha,zona_prov,w_mean
2007-01-01,BUENOS AIRES,1777
2007-01-01,CAPITAL FEDERAL,2265
2007-01-01,CATAMARCA,1477
2007-01-01,CHACO,1284
2007-01-01,CHUBUT,2548
2007-01-01,CORDOBA,1557
2007-01-01,CORRIENTES,1353
2007-01-01,ENTRE RIOS,1443
2007-01-01,FORMOSA,1245
2007-01-01,JUJUY,1343
2007-01-01,LA PAMPA,1375
2007-01-01,LA RIOJA,1391
2007-01-01,MENDOZA,1445
2007-01-01,MISIONES,1332
2007-01-01,NEUQUEN,2411
2007-01-01,RIO NEGRO,1510
2007-01-01,SALTA,1343
2007-01-01,SAN JUAN,1478
2007-01-01,SAN LUIS,1681
2007-01-01,SANTA CRUZ,2792
2007-01-01,SANTA FE,1693
2007-01-01,SANTIAGO DEL ESTERO,1181
2007-01-01,TIERRA DEL FUEGO,2479
2007-01-01,TUCUMAN,1405
2007-02-01,BUENOS AIRES,1693
2007-02-01,CAPITAL FEDERAL,2174
2007-02-01,CATAMARCA,1368
2007-02-01,CHACO,1259
2007-02-01,CHUBUT,2467
2007-02-01,CORDOBA,1464
2007-02-01,CORRIENTES,1286
2007-02-01,ENTRE RIOS,1323
2007-02-01,FORMOSA,1229
2007-02-01,JUJUY,1271
2007-02-01,LA PAMPA,1355
2007-02-01,LA RIOJA,1248
2007-02-01,MENDOZA,1393
2007-02-01,MISIONES,1270
2007-02-01,NEUQUEN,2411
2007-02-01,RIO NEGRO,1661
2007-02-01,SALTA,1316
2007-02-01,SAN JUAN,1360
2007-02-01,SAN LUIS,1576
2007-02-01,SANTA CRUZ,2704
2007-02-01,SANTA FE,1546
2007-02-01,SANTIAGO DEL ESTERO,1186
2007-02-01,TIERRA DEL FUEGO,2504
2007-02-01,TUCUMAN,1315
2007-03-01,BUENOS AIRES,1779
2007-03-01,CAPITAL FEDERAL,2283
2007-03-01,CATAMARCA,1417
2007-03-01,CHACO,1261
2007-03-01,CHUBUT,2662
2007-03-01,CORDOBA,1506
2007-03-01,CORRIENTES,1311
2007-03-01,ENTRE RIOS,1356
2007-03-01,FORMOSA,1284
2007-03-01,JUJUY,1377
2007-03-01,LA PAMPA,1395
2007-03-01,LA RIOJA,1330
2007-03-01,MENDOZA,1417
2007-03-01,MISIONES,1326
2007-03-01,NEUQUEN,2536
2007-03-01,RIO NEGRO,1762
2007-03-01,SALTA,1354
2007-03-01,SAN JUAN,1453
2007-03-01,SAN LUIS,1624
2007-03-01,SANTA CRUZ,3094
2007-03-01,SANTA FE,1601
2007-03-01,SANTIAGO DEL ESTERO,1227
2007-03-01,TIERRA DEL FUEGO,2589
2007-03-01,TUCUMAN,1288
2007-04-01,BUENOS AIRES,1773
2007-04-01,CAPITAL FEDERAL,2169
2007-04-01,CATAMARCA,1423
2007-04-01,CHACO,1277
2007-04-01,CHUBUT,2575
2007-04-01,CORDOBA,1537
2007-04-01,CORRIENTES,1300
2007-04-01,ENTRE RIOS,1365
2007-04-01,FORMOSA,1269
2007-04-01,JUJUY,1414
2007-04-01,LA PAMPA,1372
2007-04-01,LA RIOJA,1344
2007-04-01,MENDOZA,1467
2007-04-01,MISIONES,1303
2007-04-01,NEUQUEN,2525
2007-04-01,RIO NEGRO,1695
2007-04-01,SALTA,1376
2007-04-01,SAN JUAN,1450
2007-04-01,SAN LUIS,1685
2007-04-01,SANTA CRUZ,3138
2007-04-01,SANTA FE,1632
2007-04-01,SANTIAGO DEL ESTERO,1207
2007-04-01,TIERRA DEL FUEGO,2634
2007-04-01,TUCUMAN,1258
2007-05-01,BUENOS AIRES,1813
2007-05-01,CAPITAL FEDERAL,2163
2007-05-01,CATAMARCA,1447
2007-05-01,CHACO,1317
2007-05-01,CHUBUT,2667
2007-05-01,CORDOBA,1557
2007-05-01,CORRIENTES,1354
2007-05-01,ENTRE RIOS,1414
2007-05-01,FORMOSA,1330
2007-05-01,JUJUY,1428
2007-05-01,LA PAMPA,1418
2007-05-01,LA RIOJA,1475
2007-05-01,MENDOZA,1535
2007-05-01,MISIONES,1351
2007-05-01,NEUQUEN,2586
2007-05-01,RIO NEGRO,1721
2007-05-01,SALTA,1453
2007-05-01,SAN JUAN,1494
2007-05-01,SAN LUIS,1755
2007-05-01,SANTA CRUZ,3257
2007-05-01,SANTA FE,1675
